,timestamp,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume
0,2024-04-04 09:30:00,523.52,523.7,523.22,523.53,2656455.0,446.33,446.58,446.05,446.53,1645207.0
1,2024-04-04 09:35:00,523.53,523.64,522.94,523.0599,1479736.0,446.54,446.95,446.005,446.1699,1228943.0
2,2024-04-04 09:40:00,523.06,523.35,523.01,523.14,760145.0,446.16,446.52,446.05,446.23,770538.0
3,2024-04-04 09:45:00,523.14,523.26,522.98,523.16,704194.0,446.23,446.48,445.96,446.2,817788.0
4,2024-04-04 09:50:00,523.16,523.2,522.735,522.8,919019.0,446.22,446.2888,445.52,445.76,713247.0
5,2024-04-04 09:55:00,522.81,522.87,522.58,522.84,849387.0,445.77,445.9,445.4906,445.77,390485.0
6,2024-04-04 10:00:00,522.84,523.04,522.81,522.88,491244.0,445.77,446.07,445.7,445.71,525363.0
7,2024-04-04 10:05:00,522.89,522.99,522.745,522.92,383259.0,445.71,446.04,445.66,445.94,278727.0
8,2024-04-04 10:10:00,522.93,523.04,522.775,522.905,433904.0,445.94,446.08,445.64,445.7717,398126.0
9,2024-04-04 10:15:00,522.905,523.04,522.74,522.8,337520.0,445.79,445.94,445.52,445.6002,212855.0
10,2024-04-04 10:20:00,522.81,522.89,522.47,522.63,581000.0,445.61,445.72,445.03,445.29,531803.0
11,2024-04-04 10:25:00,522.64,523.0,522.58,522.92,476233.0,445.2999,445.64,445.16,445.58,412759.0
12,2024-04-04 10:30:00,522.92,522.95,522.62,522.66,343773.0,445.58,445.666,445.07,445.16,314130.0
13,2024-04-04 10:35:00,522.66,522.82,522.61,522.785,588372.0,445.155,445.44,445.09,445.42,662837.0
14,2024-04-04 10:40:00,522.78,522.9604,522.735,522.92,319100.0,445.41,445.54,445.32,445.485,272518.0
15,2024-04-04 10:45:00,522.905,522.965,522.815,522.885,228703.0,445.48,445.54,445.36,445.49,155514.0
16,2024-04-04 10:50:00,522.89,522.89,522.67,522.705,273730.0,445.49,445.49,445.12,445.235,231871.0
17,2024-04-04 10:55:00,522.715,522.86,522.685,522.73,480234.0,445.22,445.47,445.19,445.39,218545.0
18,2024-04-04 11:00:00,522.73,522.87,522.7,522.71,289823.0,445.39,445.55,445.36,445.3714,248348.0
19,2024-04-04 11:05:00,522.7,522.79,522.535,522.61,249537.0,445.38,445.59,445.23,445.35,188502.0
20,2024-04-04 11:10:00,522.61,522.71,522.36,522.46,442840.0,445.34,445.445,444.955,444.99,307359.0
21,2024-04-04 11:15:00,522.45,522.55,522.42,522.42,316252.0,444.98,445.1688,444.91,445.02,175823.0
22,2024-04-04 11:20:00,522.4213,522.67,522.4,522.6215,852854.0,445.02,445.22,445.0,445.16,276155.0
23,2024-04-04 11:25:00,522.63,522.76,522.52,522.75,266825.0,445.17,445.43,445.05,445.43,206590.0
24,2024-04-04 11:30:00,522.77,522.86,522.68,522.8,360909.0,445.43,445.575,445.34,445.4,216380.0
25,2024-04-04 11:35:00,522.805,522.905,522.7701,522.8721,294010.0,445.425,445.66,445.38,445.64,185953.0
26,2024-04-04 11:40:00,522.88,523.09,522.88,523.06,658438.0,445.65,445.8585,445.645,445.8301,317794.0
27,2024-04-04 11:45:00,523.06,523.13,522.94,523.02,277321.0,445.85,445.91,445.66,445.8,197412.0
28,2024-04-04 11:50:00,523.03,523.2886,523.025,523.22,614501.0,445.805,446.0412,445.805,446.03,217517.0
29,2024-04-04 11:55:00,523.2201,523.31,523.15,523.26,324054.0,446.04,446.2,445.97,446.2,247368.0
30,2024-04-04 12:00:00,523.27,523.43,523.18,523.43,875969.0,446.2,446.4499,446.115,446.4499,411228.0
31,2024-04-04 12:05:00,523.425,523.8674,523.42,523.775,977404.0,446.445,446.8388,446.445,446.7581,830504.0
32,2024-04-04 12:10:00,523.78,523.85,523.515,523.58,552151.0,446.76,446.89,446.53,446.53,494375.0
33,2024-04-04 12:15:00,523.58,523.65,523.48,523.48,1277927.0,446.53,446.61,446.46,446.53,208175.0
34,2024-04-04 12:20:00,523.49,523.6,523.41,523.49,344175.0,446.5373,446.7303,446.48,446.6,310220.0
35,2024-04-04 12:25:00,523.49,523.54,523.445,523.5102,230905.0,446.6,446.655,446.53,446.63,125197.0
36,2024-04-04 12:30:00,523.52,523.54,523.41,523.455,224101.0,446.6401,446.685,446.51,446.635,185150.0
37,2024-04-04 12:35:00,523.46,523.55,523.415,523.52,203067.0,446.635,446.805,446.57,446.735,232102.0
38,2024-04-04 12:40:00,523.51,523.58,523.41,523.485,224635.0,446.74,446.84,446.65,446.7088,325172.0
39,2024-04-04 12:45:00,523.48,523.57,523.445,523.49,171095.0,446.71,446.86,446.66,446.7,167281.0
40,2024-04-04 12:50:00,523.485,523.62,523.475,523.62,436679.0,446.695,446.929,446.67,446.88,229051.0
41,2024-04-04 12:55:00,523.61,523.62,523.28,523.44,355431.0,446.88,446.89,446.53,446.705,242505.0
42,2024-04-04 13:00:00,523.44,523.44,523.2,523.24,267334.0,446.69,446.735,446.3825,446.42,220757.0
43,2024-04-04 13:05:00,523.23,523.4214,523.22,523.4214,217069.0,446.415,446.62,446.395,446.62,438195.0
44,2024-04-04 13:10:00,523.421,523.47,523.32,523.36,243321.0,446.62,446.66,446.515,446.57,161800.0
45,2024-04-04 13:15:00,523.37,523.38,523.245,523.2901,205819.0,446.575,446.61,446.4301,446.4799,153821.0
46,2024-04-04 13:20:00,523.28,523.3201,523.19,523.24,189249.0,446.47,446.49,446.32,446.4,158718.0
47,2024-04-04 13:25:00,523.24,523.2912,523.155,523.17,254562.0,446.37,446.5,446.32,446.35,267335.0
48,2024-04-04 13:30:00,523.17,523.19,522.955,523.0,310190.0,446.34,446.42,446.18,446.29,212312.0
49,2024-04-04 13:35:00,522.9919,523.1,522.96,522.98,493136.0,446.28,446.405,446.22,446.23,319594.0
50,2024-04-04 13:40:00,522.98,522.985,522.5,522.655,586068.0,446.24,446.255,445.76,445.85,553223.0
51,2024-04-04 13:45:00,522.65,522.69,522.235,522.465,611708.0,445.86,445.94,445.415,445.655,504950.0
52,2024-04-04 13:50:00,522.46,522.55,522.31,522.34,601944.0,445.65,445.84,445.6201,445.6999,279029.0
53,2024-04-04 13:55:00,522.34,522.4,521.71,521.86,731497.0,445.68,445.74,445.07,445.31,600269.0
54,2024-04-04 14:00:00,521.865,521.865,521.465,521.5488,1023649.0,445.32,445.32,444.94,445.005,561646.0
55,2024-04-04 14:05:00,521.54,521.555,520.53,520.56,1826049.0,445.0,445.02,444.22,444.29,873987.0
56,2024-04-04 14:10:00,520.565,520.59,519.76,519.815,2471318.0,444.3,444.32,443.33,443.3499,1137546.0
57,2024-04-04 14:15:00,519.815,519.85,518.82,519.07,2170683.0,443.38,443.41,442.41,442.63,1100533.0
58,2024-04-04 14:20:00,519.06,519.64,518.77,519.57,2226928.0,442.61,443.08,442.39,443.0101,1158768.0
59,2024-04-04 14:25:00,519.58,519.68,517.84,518.01,2518784.0,443.01,443.07,441.255,441.44,1322991.0
60,2024-04-04 14:30:00,518.0,518.0,516.37,516.51,4314842.0,441.42,441.42,439.76,439.96,1906563.0
61,2024-04-04 14:35:00,516.53,518.0,516.52,517.64,2614339.0,439.97,441.25,439.94,440.91,1478207.0
62,2024-04-04 14:40:00,517.65,517.65,516.09,516.2,1574544.0,440.9,440.9,439.17,439.3,1129125.0
63,2024-04-04 14:45:00,516.195,517.22,516.19,517.165,1936738.0,439.31,440.26,439.26,440.21,994818.0
64,2024-04-04 14:50:00,517.16,517.23,516.41,516.56,1410471.0,440.23,440.23,439.35,439.53,739183.0
65,2024-04-04 14:55:00,516.56,516.61,515.5,515.891,2114104.0,439.48,439.57,438.44,438.88,1347386.0
66,2024-04-04 15:00:00,515.89,515.89,514.85,515.08,2785115.0,438.84,438.84,437.53,437.67,1683852.0
67,2024-04-04 15:05:00,515.09,516.06,515.09,515.8051,1914441.0,437.68,438.58,437.675,438.33,1158321.0
68,2024-04-04 15:10:00,515.8,515.8,515.06,515.465,1295947.0,438.3,438.31,437.51,437.92,1127045.0
69,2024-04-04 15:15:00,515.46,515.49,514.52,514.74,2175457.0,437.88,437.92,437.05,437.16,1579043.0
70,2024-04-04 15:20:00,514.73,515.37,514.67,514.76,1596557.0,437.15,437.77,436.98,437.19,943816.0
71,2024-04-04 15:25:00,514.75,515.01,513.66,513.69,2203964.0,437.23,437.49,436.0,436.05,1351679.0
72,2024-04-04 15:30:00,513.71,514.22,513.55,513.98,2107963.0,436.06,436.82,435.98,436.64,1467966.0
73,2024-04-04 15:35:00,513.98,514.01,513.19,513.225,2312357.0,436.65,436.67,435.7,435.76,1259306.0
74,2024-04-04 15:40:00,513.24,513.5,512.755,513.3482,2315879.0,435.77,436.06,435.37,435.92,1092881.0
75,2024-04-04 15:45:00,513.35,514.03,513.27,513.9799,2712445.0,435.92,436.38,435.86,436.3,1601526.0
76,2024-04-04 15:50:00,513.97,514.38,513.29,514.16,4799462.0,436.31,436.79,435.8,436.42,2023263.0
77,2024-04-04 15:55:00,514.16,514.16,512.83,513.03,7313085.0,436.44,436.45,435.11,435.24,3678908.0
78,2024-04-04 16:00:00,513.03,513.37,513.03,513.37,282771.0,435.28,435.64,435.28,435.6,257360.0
79,2024-04-05 09:30:00,514.46,515.18,514.01,514.788,1969531.0,436.78,437.59,436.46,436.58,1428189.0
80,2024-04-05 09:35:00,514.78,515.09,514.2,514.21,1074452.0,436.58,437.09,436.01,436.05,882952.0
81,2024-04-05 09:40:00,514.2114,515.52,514.06,515.375,975404.0,436.05,437.87,435.96,437.58,1202577.0
82,2024-04-05 09:45:00,515.38,515.925,515.0101,515.5,1096075.0,437.59,438.3,437.35,437.99,801027.0
83,2024-04-05 09:50:00,515.48,516.26,515.4,516.24,1199335.0,437.96,438.95,437.83,438.92,951289.0
84,2024-04-05 09:55:00,516.25,516.4,515.81,515.92,843142.0,438.92,439.0,438.33,438.47,782400.0
85,2024-04-05 10:00:00,515.92,516.08,515.45,515.82,1016163.0,438.47,438.67,438.03,438.63,700884.0
86,2024-04-05 10:05:00,515.81,516.26,514.99,515.67,1365181.0,438.59,439.045,437.71,438.56,986581.0
87,2024-04-05 10:10:00,515.6701,516.43,515.37,516.04,869607.0,438.57,439.55,438.27,439.25,692221.0
88,2024-04-05 10:15:00,516.03,516.25,515.69,515.84,528658.0,439.25,439.4544,438.72,438.83,487827.0
89,2024-04-05 10:20:00,515.82,516.035,515.58,515.99,626655.0,438.8,439.09,438.566,439.05,392902.0
90,2024-04-05 10:25:00,515.9698,515.9698,514.89,515.44,1067559.0,439.0513,439.0513,437.85,438.36,620785.0
91,2024-04-05 10:30:00,515.46,516.1,515.19,515.98,798581.0,438.38,438.89,438.12,438.75,328990.0
92,2024-04-05 10:35:00,515.98,516.37,515.74,515.92,682581.0,438.72,439.23,438.54,438.71,359003.0
93,2024-04-05 10:40:00,515.93,516.35,515.84,516.205,496310.0,438.75,439.235,438.58,439.07,343890.0
94,2024-04-05 10:45:00,516.2,517.03,516.16,517.03,786852.0,439.07,439.93,438.99,439.91,662463.0
95,2024-04-05 10:50:00,517.005,517.55,516.97,517.45,1054989.0,439.89,440.38,439.84,440.27,832311.0
96,2024-04-05 10:55:00,517.45,518.0913,517.36,518.06,835544.0,440.29,440.9499,440.15,440.9101,691236.0
97,2024-04-05 11:00:00,518.05,518.08,517.4,517.45,1817785.0,440.92,441.21,440.55,440.601,982209.0
98,2024-04-05 11:05:00,517.45,517.58,517.03,517.44,727089.0,440.6,440.63,440.0,440.4,910708.0
99,2024-04-05 11:10:00,517.43,517.68,517.07,517.18,588767.0,440.39,440.67,439.7899,439.96,576566.0
100,2024-04-05 11:15:00,517.17,517.19,516.43,517.01,959482.0,439.94,439.98,439.06,439.77,688665.0
101,2024-04-05 11:20:00,516.99,517.34,516.835,517.29,530400.0,439.77,439.99,439.4845,439.895,300934.0
102,2024-04-05 11:25:00,517.29,517.87,517.1412,517.85,524111.0,439.89,440.26,439.6,440.2393,529624.0
103,2024-04-05 11:30:00,517.84,517.98,517.58,517.62,961544.0,440.24,440.48,440.0,440.04,606576.0
104,2024-04-05 11:35:00,517.62,518.19,517.57,518.12,663768.0,440.05,440.92,440.03,440.8,478484.0
105,2024-04-05 11:40:00,518.12,518.96,518.1,518.85,1026867.0,440.8,441.45,440.73,441.36,518486.0
106,2024-04-05 11:45:00,518.86,519.195,518.76,518.8001,721800.0,441.37,441.7,441.23,441.27,562887.0
107,2024-04-05 11:50:00,518.8,519.13,518.77,519.085,501053.0,441.28,441.755,441.25,441.71,504224.0
108,2024-04-05 11:55:00,519.09,519.72,519.07,519.43,1199578.0,441.7099,442.21,441.6899,441.96,575668.0
109,2024-04-05 12:00:00,519.43,519.729,519.35,519.48,610784.0,441.97,442.4,441.965,442.0601,1096254.0
110,2024-04-05 12:05:00,519.49,519.7,519.195,519.62,929095.0,442.07,442.26,441.8801,442.1301,442287.0
111,2024-04-05 12:10:00,519.6201,519.8365,519.54,519.67,715646.0,442.12,442.2893,441.98,442.07,562388.0
112,2024-04-05 12:15:00,519.675,520.01,519.675,519.83,849014.0,442.09,442.43,442.07,442.3,425955.0
113,2024-04-05 12:20:00,519.83,520.0099,519.475,519.995,769282.0,442.3,442.41,441.83,442.39,568083.0
114,2024-04-05 12:25:00,519.99,520.0,519.58,519.615,588838.0,442.3799,442.3969,441.9115,441.94,337149.0
115,2024-04-05 12:30:00,519.61,519.69,519.08,519.52,1010001.0,441.95,442.13,441.44,441.95,769953.0
116,2024-04-05 12:35:00,519.52,519.8566,519.37,519.85,643305.0,441.9499,442.34,441.771,442.33,463630.0
117,2024-04-05 12:40:00,519.85,519.85,519.46,519.6,455067.0,442.33,442.33,441.94,442.05,409318.0
118,2024-04-05 12:45:00,519.61,519.78,519.37,519.43,507303.0,442.055,442.25,441.81,441.94,365108.0
119,2024-04-05 12:50:00,519.445,519.93,519.4412,519.77,509375.0,441.95,442.36,441.95,442.27,252336.0
120,2024-04-05 12:55:00,519.77,520.44,519.7102,520.3398,801525.0,442.26,443.14,442.2,443.0101,586217.0
121,2024-04-05 13:00:00,520.33,520.43,519.765,519.86,678347.0,443.01,443.17,442.53,442.6299,716916.0
122,2024-04-05 13:05:00,519.85,519.85,519.04,519.16,818987.0,442.63,442.63,441.87,441.995,487170.0
123,2024-04-05 13:10:00,519.16,519.4,518.71,518.82,733960.0,442.0,442.255,441.61,441.71,659330.0
124,2024-04-05 13:15:00,518.82,519.055,518.79,518.86,547881.0,441.72,442.0196,441.68,441.93,359531.0
125,2024-04-05 13:20:00,518.86,519.4,518.86,519.28,429004.0,441.92,442.41,441.91,442.23,238159.0
126,2024-04-05 13:25:00,519.28,519.34,519.03,519.26,394297.0,442.235,442.29,442.04,442.22,193335.0
127,2024-04-05 13:30:00,519.26,519.595,519.2512,519.53,652683.0,442.23,442.64,442.23,442.54,533766.0
128,2024-04-05 13:35:00,519.53,519.54,519.03,519.04,414485.0,442.55,442.565,442.03,442.03,387332.0
129,2024-04-05 13:40:00,519.05,519.2812,518.56,518.92,588720.0,442.04,442.26,441.45,441.82,800846.0
130,2024-04-05 13:45:00,518.925,518.94,518.43,518.63,620196.0,441.81,441.84,441.39,441.54,419977.0
131,2024-04-05 13:50:00,518.62,518.85,518.2102,518.23,613554.0,441.53,441.78,440.9918,441.0,444772.0
132,2024-04-05 13:55:00,518.245,518.31,517.43,517.8099,925910.0,440.99,441.13,440.12,440.37,671447.0
