timestamp,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Volume
2024-04-04 09:30:00+00:00,523.52,523.7,523.22,523.53,2656455.0,446.33,446.58,446.05,446.53,1645207.0
2024-04-04 09:35:00+00:00,523.53,523.64,522.94,523.0599,1479736.0,446.54,446.95,446.005,446.1699,1228943.0
2024-04-04 09:40:00+00:00,523.06,523.35,523.01,523.14,760145.0,446.16,446.52,446.05,446.23,770538.0
2024-04-04 09:45:00+00:00,523.14,523.26,522.98,523.16,704194.0,446.23,446.48,445.96,446.2,817788.0
2024-04-04 09:50:00+00:00,523.16,523.2,522.735,522.8,919019.0,446.22,446.2888,445.52,445.76,713247.0
2024-04-04 09:55:00+00:00,522.81,522.87,522.58,522.84,849387.0,445.77,445.9,445.4906,445.77,390485.0
2024-04-04 10:00:00+00:00,522.84,523.04,522.81,522.88,491244.0,445.77,446.07,445.7,445.71,525363.0
2024-04-04 10:05:00+00:00,522.89,522.99,522.745,522.92,383259.0,445.71,446.04,445.66,445.94,278727.0
2024-04-04 10:10:00+00:00,522.93,523.04,522.775,522.905,433904.0,445.94,446.08,445.64,445.7717,398126.0
2024-04-04 10:15:00+00:00,522.905,523.04,522.74,522.8,337520.0,445.79,445.94,445.52,445.6002,212855.0
2024-04-04 10:20:00+00:00,522.81,522.89,522.47,522.63,581000.0,445.61,445.72,445.03,445.29,531803.0
2024-04-04 10:25:00+00:00,522.64,523.0,522.58,522.92,476233.0,445.2999,445.64,445.16,445.58,412759.0
2024-04-04 10:30:00+00:00,522.92,522.95,522.62,522.66,343773.0,445.58,445.666,445.07,445.16,314130.0
2024-04-04 10:35:00+00:00,522.66,522.82,522.61,522.785,588372.0,445.155,445.44,445.09,445.42,662837.0
2024-04-04 10:40:00+00:00,522.78,522.9604,522.735,522.92,319100.0,445.41,445.54,445.32,445.485,272518.0
2024-04-04 10:45:00+00:00,522.905,522.965,522.815,522.885,228703.0,445.48,445.54,445.36,445.49,155514.0
2024-04-04 10:50:00+00:00,522.89,522.89,522.67,522.705,273730.0,445.49,445.49,445.12,445.235,231871.0
2024-04-04 10:55:00+00:00,522.715,522.86,522.685,522.73,480234.0,445.22,445.47,445.19,445.39,218545.0
2024-04-04 11:00:00+00:00,522.73,522.87,522.7,522.71,289823.0,445.39,445.55,445.36,445.3714,248348.0
2024-04-04 11:05:00+00:00,522.7,522.79,522.535,522.61,249537.0,445.38,445.59,445.23,445.35,188502.0
2024-04-04 11:10:00+00:00,522.61,522.71,522.36,522.46,442840.0,445.34,445.445,444.955,444.99,307359.0
2024-04-04 11:15:00+00:00,522.45,522.55,522.42,522.42,316252.0,444.98,445.1688,444.91,445.02,175823.0
2024-04-04 11:20:00+00:00,522.4213,522.67,522.4,522.6215,852854.0,445.02,445.22,445.0,445.16,276155.0
2024-04-04 11:25:00+00:00,522.63,522.76,522.52,522.75,266825.0,445.17,445.43,445.05,445.43,206590.0
2024-04-04 11:30:00+00:00,522.77,522.86,522.68,522.8,360909.0,445.43,445.575,445.34,445.4,216380.0
